Day;Date;Rented_Bike_Count
1;1/01/2018;4290
2;2/01/2018;6446
3;3/01/2018;6512
4;4/01/2018;6453
5;5/01/2018;6967
6;6/01/2018;5180
7;7/01/2018;4714
8;8/01/2018;5711
9;9/01/2018;5500
10;10/01/2018;4161
11;11/01/2018;4017
12;12/01/2018;4111
13;13/01/2018;3503
14;14/01/2018;4225
15;15/01/2018;6334
16;16/01/2018;6705
17;17/01/2018;6292
18;18/01/2018;6383
19;19/01/2018;7472
20;20/01/2018;5576
21;21/01/2018;4973
22;22/01/2018;4503
23;23/01/2018;3981
24;24/01/2018;3154
25;25/01/2018;3113
26;26/01/2018;2931
27;27/01/2018;2693
28;28/01/2018;2828
29;29/01/2018;4088
30;30/01/2018;3360
31;31/01/2018;3830
32;1/02/2018;5377
33;2/02/2018;5954
34;3/02/2018;3290
35;4/02/2018;2487
36;5/02/2018;3932
37;6/02/2018;3988
38;7/02/2018;4697
39;8/02/2018;5613
40;9/02/2018;6268
41;10/02/2018;4425
42;11/02/2018;2850
43;12/02/2018;4813
44;13/02/2018;6267
45;14/02/2018;6771
46;15/02/2018;3484
47;16/02/2018;2593
48;17/02/2018;3118
49;18/02/2018;4562
50;19/02/2018;7604
51;20/02/2018;7955
52;21/02/2018;7491
53;22/02/2018;7712
54;23/02/2018;5797
55;24/02/2018;6356
56;25/02/2018;6500
57;26/02/2018;9247
58;27/02/2018;8862
59;28/02/2018;3820
60;1/03/2018;5132
61;2/03/2018;8433
62;3/03/2018;12191
63;4/03/2018;4688
64;5/03/2018;8597
65;6/03/2018;12003
66;7/03/2018;11170
67;8/03/2018;7711
68;9/03/2018;11642
69;10/03/2018;11064
70;11/03/2018;11843
71;12/03/2018;13339
72;13/03/2018;15963
73;14/03/2018;19180
74;15/03/2018;6227
75;16/03/2018;15277
76;17/03/2018;15389
77;18/03/2018;9609
78;19/03/2018;8968
79;20/03/2018;11515
80;21/03/2018;7384
81;22/03/2018;14007
82;23/03/2018;14969
83;24/03/2018;12243
84;25/03/2018;10963
85;26/03/2018;13084
86;27/03/2018;14710
87;28/03/2018;17295
88;29/03/2018;17450
89;30/03/2018;19301
90;31/03/2018;19247
91;1/04/2018;17388
92;2/04/2018;21585
93;3/04/2018;21015
94;4/04/2018;19995
95;5/04/2018;2596
96;6/04/2018;11520
97;7/04/2018;11159
98;8/04/2018;6666
99;9/04/2018;19082
100;10/04/2018;16696
101;11/04/2018;0
102;12/04/2018;22729
103;13/04/2018;23240
104;14/04/2018;6980
105;15/04/2018;10207
106;16/04/2018;23198
107;17/04/2018;22234
108;18/04/2018;21670
109;19/04/2018;17730
110;20/04/2018;22593
111;21/04/2018;24404
112;22/04/2018;6852
113;23/04/2018;977
114;24/04/2018;20144
115;25/04/2018;26285
116;26/04/2018;25670
117;27/04/2018;25861
118;28/04/2018;24940
119;29/04/2018;25349
120;30/04/2018;25462
121;1/05/2018;26820
122;2/05/2018;7448
123;3/05/2018;21027
124;4/05/2018;26670
125;5/05/2018;25353
126;6/05/2018;14556
127;7/05/2018;28140
128;8/05/2018;26429
129;9/05/2018;28895
130;10/05/2018;0
131;11/05/2018;26649
132;12/05/2018;3034
133;13/05/2018;25913
134;14/05/2018;27793
135;15/05/2018;28478
136;16/05/2018;6416
137;17/05/2018;3521
138;18/05/2018;16087
139;19/05/2018;30994
140;20/05/2018;27829
141;21/05/2018;31236
142;22/05/2018;13790
143;23/05/2018;27674
144;24/05/2018;28781
145;25/05/2018;29057
146;26/05/2018;28079
147;27/05/2018;28991
148;28/05/2018;31020
149;29/05/2018;24355
150;30/05/2018;30372
151;31/05/2018;31681
152;1/06/2018;31928
153;2/06/2018;30693
154;3/06/2018;29761
155;4/06/2018;33257
156;5/06/2018;33424
157;6/06/2018;30498
158;7/06/2018;32002
159;8/06/2018;35103
160;9/06/2018;25911
161;10/06/2018;29342
162;11/06/2018;24832
163;12/06/2018;34544
164;13/06/2018;36149
165;14/06/2018;23818
166;15/06/2018;33492
167;16/06/2018;34360
168;17/06/2018;32487
169;18/06/2018;27541
170;19/06/2018;35349
171;20/06/2018;34639
172;21/06/2018;34621
173;22/06/2018;34079
174;23/06/2018;31949
175;24/06/2018;27028
176;25/06/2018;32702
177;26/06/2018;5200
178;27/06/2018;29755
179;28/06/2018;21647
180;29/06/2018;30297
181;30/06/2018;20479
182;1/07/2018;3231
183;2/07/2018;5240
184;3/07/2018;29293
185;4/07/2018;31781
186;5/07/2018;28182
187;6/07/2018;33676
188;7/07/2018;31076
189;8/07/2018;30080
190;9/07/2018;6191
191;10/07/2018;20641
192;11/07/2018;24135
193;12/07/2018;29428
194;13/07/2018;30088
195;14/07/2018;25814
196;15/07/2018;22790
197;16/07/2018;26823
198;17/07/2018;28435
199;18/07/2018;27896
200;19/07/2018;27820
201;20/07/2018;26699
202;21/07/2018;21283
203;22/07/2018;18563
204;23/07/2018;24890
205;24/07/2018;24635
206;25/07/2018;25918
207;26/07/2018;24915
208;27/07/2018;23275
209;28/07/2018;16880
210;29/07/2018;18190
211;30/07/2018;23695
212;31/07/2018;22897
213;1/08/2018;20712
214;2/08/2018;20693
215;3/08/2018;20794
216;4/08/2018;18363
217;5/08/2018;17415
218;6/08/2018;19171
219;7/08/2018;23806
220;8/08/2018;23880
221;9/08/2018;21644
222;10/08/2018;23833
223;11/08/2018;20009
224;12/08/2018;17498
225;13/08/2018;22827
226;14/08/2018;23836
227;15/08/2018;18565
228;16/08/2018;25329
229;17/08/2018;28820
230;18/08/2018;26398
231;19/08/2018;24547
232;20/08/2018;26827
233;21/08/2018;25133
234;22/08/2018;26072
235;23/08/2018;15958
236;24/08/2018;11658
237;25/08/2018;27302
238;26/08/2018;19310
239;27/08/2018;14435
240;28/08/2018;9092
241;29/08/2018;9184
242;30/08/2018;20959
243;31/08/2018;27817
244;1/09/2018;26010
245;2/09/2018;26881
246;3/09/2018;10802
247;4/09/2018;29529
248;5/09/2018;31114
249;6/09/2018;27838
250;7/09/2018;30381
251;8/09/2018;29813
252;9/09/2018;28354
253;10/09/2018;30781
254;11/09/2018;31694
255;12/09/2018;31809
256;13/09/2018;30991
257;14/09/2018;28199
258;15/09/2018;25079
259;16/09/2018;14178
260;17/09/2018;30290
261;18/09/2018;0
262;19/09/2018;0
263;20/09/2018;14282
264;21/09/2018;18266
265;22/09/2018;26398
266;23/09/2018;20060
267;24/09/2018;17259
268;25/09/2018;23350
269;26/09/2018;28018
270;27/09/2018;30789
271;28/09/2018;0
272;29/09/2018;31447
273;30/09/2018;0
274;1/10/2018;27909
275;2/10/2018;0
276;3/10/2018;30349
277;4/10/2018;0
278;5/10/2018;4522
279;6/10/2018;16037
280;7/10/2018;27614
281;8/10/2018;29362
282;9/10/2018;0
283;10/10/2018;24410
284;11/10/2018;24526
285;12/10/2018;26237
286;13/10/2018;25542
287;14/10/2018;24349
288;15/10/2018;26198
289;16/10/2018;26956
290;17/10/2018;26502
291;18/10/2018;26504
292;19/10/2018;27437
293;20/10/2018;25355
294;21/10/2018;23906
295;22/10/2018;26075
296;23/10/2018;21601
297;24/10/2018;26418
298;25/10/2018;27258
299;26/10/2018;13377
300;27/10/2018;18398
301;28/10/2018;11589
302;29/10/2018;19877
303;30/10/2018;20822
304;31/10/2018;21545
305;1/11/2018;22964
306;2/11/2018;24077
307;3/11/2018;0
308;4/11/2018;20471
309;5/11/2018;23472
310;6/11/2018;0
311;7/11/2018;16525
312;8/11/2018;1721
313;9/11/2018;0
314;10/11/2018;18473
315;11/11/2018;13138
316;12/11/2018;21003
317;13/11/2018;21992
318;14/11/2018;22707
319;15/11/2018;21502
320;16/11/2018;20660
321;17/11/2018;15689
322;18/11/2018;14319
323;19/11/2018;18956
324;20/11/2018;19127
325;21/11/2018;15732
326;22/11/2018;16496
327;23/11/2018;16314
328;24/11/2018;6477
329;25/11/2018;11212
330;26/11/2018;17162
331;27/11/2018;16282
332;28/11/2018;16524
333;29/11/2018;16423
334;30/11/2018;16297
335;1/12/2018;9539
336;2/12/2018;8523
337;3/12/2018;7222
338;4/12/2018;8729
339;5/12/2018;8307
340;6/12/2018;6669
341;7/12/2018;8549
342;8/12/2018;8032
343;9/12/2018;7233
344;10/12/2018;3453
345;11/12/2018;5848
346;12/12/2018;5496
347;13/12/2018;6019
348;14/12/2018;6398
349;15/12/2018;7198
350;16/12/2018;4632
351;17/12/2018;3776
352;18/12/2018;2620
353;19/12/2018;4334
354;20/12/2018;4568
355;21/12/2018;5734
356;22/12/2018;7184
357;23/12/2018;6624
358;24/12/2018;2014
359;25/12/2018;3966
360;26/12/2018;5605
361;27/12/2018;5351
362;28/12/2018;6594
363;29/12/2018;7663
364;30/12/2018;4027
365;31/12/2018;3423
